accession	scientific_name	first_public	base_count
AF045125	Drosophila emarginata	1998-06-02	405
AY154830	Drosophila mojavensis	2003-03-03	880
AY154864	Drosophila mojavensis	2003-03-03	877
AY154868	Drosophila mojavensis	2003-03-03	878
U66411	Drosophila melanogaster	1996-11-02	4789
AY154876	Drosophila mojavensis	2003-03-03	878
AY154837	Drosophila mojavensis	2003-03-03	880
AB194421	Drosophila bipectinata	2005-05-07	1769
AF045113	Drosophila saltans	1998-06-02	405
AY154834	Drosophila mojavensis	2003-03-03	880
AY154874	Drosophila mojavensis	2003-03-03	880
AF348881	Drosophila biauraria	2001-04-16	666
AF348880	Drosophila triauraria	2001-04-16	668
AI513113	Drosophila melanogaster	1999-03-23	515
CK131199	Drosophila melanogaster	2003-12-03	668
CV785019	Drosophila yakuba	2004-11-12	231
BI566106	Drosophila melanogaster	2001-09-07	559
AI107293	Drosophila melanogaster	1998-09-04	445
AY695385	Drosophila belladunni	2006-08-01	1117
AY695382	Drosophila dunni	2006-08-01	2005
BF497094	Drosophila melanogaster	2000-12-07	532
BF494131	Drosophila melanogaster	2000-12-07	799
BI214744	Drosophila melanogaster	2001-07-13	677
BI623813	Drosophila melanogaster	2001-09-11	601
BI630708	Drosophila melanogaster	2001-09-11	558
AA802598	Drosophila melanogaster	1998-02-13	684
AI387658	Drosophila melanogaster	1999-02-01	512
AA440486	Drosophila melanogaster	1997-06-03	529
AF006565	Drosophila persimilis	1997-09-11	3462
KX384731	Drosophila takahashii	2017-01-03	2658
X13812	Drosophila affinidisjuncta	1992-04-21	3886
X62223	Drosophila pseudoobscura	1992-10-16	3477
X62229	Drosophila pseudoobscura	1992-10-16	3494
AY331979	Drosophila lini	2003-07-26	785
X62210	Drosophila pseudoobscura	1992-10-16	3454
X62218	Drosophila pseudoobscura	1992-10-16	3486
X62235	Drosophila pseudoobscura	1992-10-16	3479
X62190	Drosophila pseudoobscura	1992-10-16	3485
X62217	Drosophila pseudoobscura	1992-10-16	3468
X62224	Drosophila pseudoobscura	1992-10-16	3474
X64487	Drosophila pseudoobscura	1992-10-16	3474
X62183	Drosophila pseudoobscura	1992-10-16	3499
X62196	Drosophila pseudoobscura	1992-10-16	3479
X62211	Drosophila pseudoobscura	1992-10-16	3475
X62221	Drosophila pseudoobscura	1992-10-16	3483
X62232	Drosophila pseudoobscura	1992-10-16	3499
X64468	Drosophila pseudoobscura	1992-10-16	3476
X64470	Drosophila pseudoobscura	1992-10-16	3498
X64476	Drosophila pseudoobscura	1992-10-16	3457
AB026535	Drosophila sturtevanti	1999-10-29	849
AY006415	Drosophila heteroneura	2001-09-04	510
AY750119	Drosophila tsigana	2005-12-31	911
AY750145	Drosophila bai	2005-12-31	911
DQ471631	Drosophila beppui	2006-07-20	711
DQ471660	Drosophila hydei	2006-07-20	711
AY750131	Drosophila yunnanensis	2005-12-31	911
HQ631475	Drosophila jambulina	2011-08-30	290
HQ631480	Drosophila ohnishii	2011-08-30	290
M36580	Drosophila melanogaster	1990-08-30	2686
U63563	Drosophila affinidisjuncta	1996-09-13	898
X68164	Drosophila pseudoobscura	1992-10-08	3443
AF059888	Drosophila funebris	1998-04-28	290
AY750137	Drosophila pseudosordidula	2005-12-31	911
HQ631478	Drosophila madikerii	2011-08-30	290
AF081357	Drosophila tolteca	1999-01-18	425
AY006418	Drosophila cyrtoloma	2001-09-04	510
AY750120	Drosophila tsigana	2005-12-31	911
AY750126	Drosophila polychaeta	2005-12-31	911
AY750141	Drosophila bai	2005-12-31	911
DQ471635	Drosophila quadrisetata	2006-07-20	711
DQ471637	Drosophila velox	2006-07-20	711
DQ471663	Drosophila lummei	2006-07-20	711
M60998	Drosophila miranda	1992-04-30	3461
U26841	Drosophila lacicola	1995-06-30	957
U26844	Drosophila americana texana	1995-07-05	950
GQ376033	Drosophila bunnanda	2009-08-02	410
AB261139	Drosophila guttifera	2007-11-03	845
AB932657	Drosophila ornatifrons	2014-10-26	824
AB932665	Drosophila orientacea	2015-01-14	857
AB932675	Drosophila subpalustris	2014-10-26	849
U95253	Drosophila willistoni	1999-01-06	1172
X57375	Drosophila yakuba	1991-07-17	975
AB033643	Drosophila funebris	1999-11-16	711
AB932649	Drosophila brachynephros	2015-01-14	1100
M37262	Drosophila affinidisjuncta	1990-09-07	3886
U26846	Drosophila virilis	1995-06-22	13087
U76468	Drosophila eohydei	1996-11-19	899
X57369	Drosophila yakuba	1991-07-17	975
AB932658	Drosophila guttifera	2014-10-26	845
AB932667	Drosophila phalerata	2014-10-26	822
AF260697	Drosophila mulleri	2000-09-20	463
EU532132	Drosophila tropicalis cubana	2010-01-21	590
AB033641	Drosophila polychaeta	1999-11-16	711
AB932656	Drosophila funebris	2014-10-26	845
EU532131	Drosophila tropicalis tropicalis	2010-01-21	560
KM016466	Drosophila simulans	2014-09-24	476
LC578831	Drosophila palustris	2022-04-03	706
U26840	Drosophila lacicola	1995-06-30	957
X57373	Drosophila yakuba	1991-07-17	975
U95255	Drosophila willistoni	1999-01-06	1174
AB154542	Drosophila kikkawai	2004-04-01	683
AB154550	Drosophila kikkawai	2004-04-01	686
AB154556	Drosophila kikkawai	2004-04-01	686
AF284479	Drosophila mauritiana	2000-11-02	703
AY335197	Drosophila sucinea	2003-12-31	781
DQ471615	Drosophila angor	2006-07-20	711
EU532127	Drosophila paulistorum	2010-01-21	587
JX455218	Drosophila simulans	2012-09-03	480
KX976502	Drosophila yakuba	2016-11-12	771
U95261	Drosophila willistoni	1999-01-06	1172
AF201430	Drosophila simulans	2000-07-03	480
AF284475	Drosophila mauritiana	2000-11-02	701
AY095949	Drosophila phalerata	2003-05-01	430
DQ471650	Drosophila yunnanensis	2006-07-20	711
HQ110510	Drosophila nebulosa	2011-05-06	794
M22210	Drosophila melanogaster	1991-07-01	2075
X78917	Drosophila melanogaster	1994-05-03	96
EU532130	Drosophila paulistorum	2010-01-21	588
HQ110509	Drosophila nebulosa	2011-05-06	794
JX455217	Drosophila simulans	2012-09-03	480
KX976498	Drosophila yakuba	2016-11-12	771
M62851	Drosophila wheeleri	1991-04-10	924
X60112	Drosophila madeirensis	1993-08-25	3881
AB154560	Drosophila kikkawai	2004-04-01	683
AY095944	Drosophila curvispina	2003-05-01	443
DQ471626	Drosophila polychaeta	2006-07-20	711
DQ471651	Drosophila lacertosa	2006-07-20	711
JX455214	Drosophila simulans	2012-09-03	480
KX375415	Drosophila biarmipes	2017-01-03	1022
KX976487	Drosophila yakuba	2016-11-12	771
KX976488	Drosophila yakuba	2016-11-12	771
KX976507	Drosophila yakuba	2016-11-12	771
KX976516	Drosophila yakuba	2016-11-12	771
KX976517	Drosophila yakuba	2016-11-12	771
M60979	Drosophila pseudoobscura	1992-04-30	3481
M62741	Drosophila arizonae	1991-07-11	909
U95262	Drosophila willistoni	1999-01-06	1172
X60113	Drosophila guanche	1993-08-25	4433
U95264	Drosophila willistoni	1999-01-06	1172
AB669832	Drosophila neoasahinai	2014-01-02	837
AB669851	Drosophila jambulina	2014-01-02	831
AB669866	Drosophila leontia	2014-01-02	832
AF136657	Drosophila americana americana	1999-06-03	884
AF175219	Drosophila melanogaster	1999-10-06	951
AF459757	Drosophila greeni	2002-05-16	290
L78920	Drosophila mimica	1996-06-25	822
M97638	Drosophila immigrans	1993-06-05	3142
AB669826	Drosophila auraria	2014-01-02	843
AB669831	Drosophila neoasahinai	2014-01-02	838
AF136662	Drosophila americana americana	1999-06-03	884
AF459770	Drosophila birchii	2002-05-16	290
AF459776	Drosophila tsacasi	2002-05-16	290
AF459777	Drosophila baimaii	2002-05-16	290
EF216311	Drosophila microlabis	2007-06-10	370
KJ767238	Drosophila melanogaster	2014-09-04	872
L78925	Drosophila mimica	1996-06-25	822
U64530	Drosophila pseudoobscura	1996-08-16	3456
AB669836	Drosophila subauraria	2014-01-02	842
AB669837	Drosophila subauraria	2014-01-02	842
AB669846	Drosophila seguyi	2014-01-02	835
AB669854	Drosophila punjabiensis	2014-01-02	836
AB669856	Drosophila watanabei	2014-01-02	826
AF136685	Drosophila americana americana	1999-06-03	884
AF136690	Drosophila americana americana	1999-06-03	884
AF136691	Drosophila americana americana	1999-06-03	884
AF459769	Drosophila barbarae	2002-05-16	290
AF459778	Drosophila biauraria	2002-05-16	290
EF560578	Drosophila viracochi	2008-05-01	624
U64552	Drosophila pseudoobscura	1996-08-16	3490
AB669869	Drosophila ogumai	2014-01-02	837
AB669871	Drosophila ohnishii	2014-01-02	844
AB669879	Drosophila serrata	2014-01-02	839
AF136669	Drosophila americana americana	1999-06-03	884
AF136680	Drosophila americana americana	1999-06-03	884
AF136707	Drosophila americana texana	1999-06-03	884
AF175214	Drosophila melanogaster	1999-10-06	951
AF201424	Drosophila melanogaster	2000-07-03	494
AF459744	Drosophila affinis	2002-05-16	290
AF459755	Drosophila varians	2002-05-16	290
AF459773	Drosophila quadraria	2002-05-16	290
AF459779	Drosophila kanapiae	2002-05-16	290
AF459782	Drosophila parvula	2002-05-16	290
AM181670	Drosophila gunungcola	2006-02-15	628
EU999243	Drosophila americana	2008-09-09	845
L78921	Drosophila mimica	1996-06-25	822
U64525	Drosophila pseudoobscura	1996-08-16	3472
U64534	Drosophila pseudoobscura	1996-08-16	3477
U64540	Drosophila pseudoobscura	1996-08-16	3475
U64541	Drosophila pseudoobscura	1996-08-16	3500
U76472	Drosophila hydei	1996-11-19	897
AF136679	Drosophila americana americana	1999-06-03	884
AY541091	Drosophila innubila	2004-12-13	555
AY541213	Drosophila falleni	2005-03-01	554
LC057204	Drosophila sp. 14028-0511.00	2019-06-04	838
AY364507	Drosophila mojavensis	2004-01-30	880
AY541090	Drosophila innubila	2004-12-13	555
AY541092	Drosophila innubila	2004-12-13	555
M60989	Drosophila pseudoobscura bogotana	1992-01-26	3479
AB669860	Drosophila bocki	2014-01-02	831
AB703315	Drosophila affinis	2012-03-18	405
AY340282	Drosophila americana	2003-08-13	881
AY364498	Drosophila mojavensis	2004-01-30	880
AY364517	Drosophila mojavensis	2004-01-30	879
AY541098	Drosophila innubila	2004-12-13	555
AY541099	Drosophila innubila	2004-12-13	555
EF216310	Drosophila dianensis	2007-06-10	429
AB669867	Drosophila lini	2014-01-02	844
AB669884	Drosophila fengkainensis	2014-01-02	841
AB669893	Drosophila truncata	2014-01-02	830
AH011593	Drosophila eugracilis	2016-04-08	566
AY340281	Drosophila americana	2003-08-13	881
AY364496	Drosophila mojavensis	2004-01-30	880
AY364518	Drosophila mojavensis	2004-01-30	879
AY541094	Drosophila innubila	2004-12-13	522
AY874363	Drosophila subobscura	2005-05-31	1425
AY874375	Drosophila subobscura	2005-05-31	1406
KJ767241	Drosophila simulans	2014-09-04	868
LC057199	Drosophila trilutea	2019-06-04	831
U76482	Drosophila mulleri	1997-03-06	902
X54813	Drosophila ambigua	1991-07-23	4185
AY154850	Drosophila arizonae	2003-03-03	878
AY154861	Drosophila arizonae	2003-03-03	880
AB669842	Drosophila greeni	2014-01-02	830
AY044122	Drosophila annulipes	2002-08-06	722
AY044126	Drosophila albomicans	2002-08-06	725
LC057198	Drosophila takahashii	2019-06-04	830
M17831	Drosophila melanogaster	1991-07-01	2726
M17834	Drosophila melanogaster	1991-07-01	2769
AB669862	Drosophila diplacantha	2014-01-02	829
AB669885	Drosophila kanapiae	2014-01-02	838
AY154847	Drosophila arizonae	2003-03-03	878
AY154855	Drosophila arizonae	2003-03-03	880
AY154857	Drosophila arizonae	2003-03-03	880
M17837	Drosophila melanogaster	1991-07-01	7242
AB932668	Drosophila polymorpha	2014-10-26	833
AB932670	Drosophila quinaria	2014-10-26	851
AF067282	Drosophila helvetica	1998-07-02	437
AY154860	Drosophila arizonae	2003-03-03	880
AY154869	Drosophila mojavensis	2003-03-03	880
DQ471609	Drosophila cf. cheda BCW-2006	2006-07-20	711
M60990	Drosophila pseudoobscura bogotana	1992-04-30	3472
AF045115	Drosophila sturtevanti	1998-06-02	405
AY165517	Drosophila americana	2003-04-22	743
AF045122	Drosophila lusaltans	1998-06-02	405
AY154829	Drosophila mojavensis	2003-03-03	880
AY154838	Drosophila mojavensis	2003-03-03	880
AY154870	Drosophila mojavensis	2003-03-03	879
AY754433	Drosophila affinis	2005-04-04	740
AF348882	Drosophila triauraria	2001-04-16	667
AF348883	Drosophila quadraria	2001-04-16	667
CK131244	Drosophila melanogaster	2003-12-03	503
AB194414	Drosophila parabipectinata	2005-05-07	17499
CV784997	Drosophila yakuba	2004-11-12	542
CV850204	Drosophila yakuba	2004-11-19	193
CV043184	Drosophila simulans	2004-08-24	393
CV528161	Drosophila simulans	2004-10-08	384
AY695386	Drosophila cardini	2006-08-01	1133
BG632098	Drosophila melanogaster	2001-04-28	798
BF486174	Drosophila melanogaster	2000-12-07	816
BI608471	Drosophila melanogaster	2001-09-10	530
AF006568	Drosophila persimilis	1997-09-11	3465
AY279326	Drosophila eugracilis	2004-03-31	2675
X04454	Drosophila melanogaster	1986-11-18	2369
U64535	Drosophila pseudoobscura	1996-08-16	4594
X62185	Drosophila pseudoobscura	1992-10-16	3498
X62238	Drosophila pseudoobscura	1992-10-16	3479
X64485	Drosophila pseudoobscura	1992-10-16	3472
M60792	Drosophila mimica	1992-06-06	895
X62181	Drosophila pseudoobscura	1992-10-16	3494
X62188	Drosophila pseudoobscura	1992-10-16	3472
X62219	Drosophila pseudoobscura	1992-10-16	3447
X62201	Drosophila pseudoobscura	1992-10-16	3479
X64472	Drosophila pseudoobscura	1992-10-16	3453
X64477	Drosophila pseudoobscura	1992-10-16	3506
X62213	Drosophila pseudoobscura	1992-10-16	3463
AY238776	Drosophila miranda	2003-04-08	2042
AB026527	Drosophila lutescens	1999-10-29	840
GQ376037	Drosophila repleta	2009-08-02	410
AY750138	Drosophila robusta	2005-12-31	911
EU490429	Drosophila endobranchia	2008-03-11	651
U94197	Drosophila disjuncta	1998-02-23	222
U94198	Drosophila iki	1998-02-23	204
X68160	Drosophila pseudoobscura	1992-10-08	3473
AY006410	Drosophila hemipeza	2001-09-04	510
AY006420	Drosophila neopicta	2001-09-04	510
AY081441	Drosophila bromeliae	2002-08-09	289
AY081442	Drosophila polychaeta	2002-08-09	283
AY750142	Drosophila gani	2005-12-31	911
DQ471658	Drosophila ezoana	2006-07-20	711
DQ471668	Drosophila virilis	2006-07-20	711
HQ631472	Drosophila constricta	2011-08-30	290
HQ631481	Drosophila parabipectinata	2011-08-30	290
MF908506	Drosophila subpulchrella	2018-08-19	763
X68166	Drosophila pseudoobscura	1992-10-08	3505
AB026533	Drosophila saltans	1999-10-29	847
AY006423	Drosophila setosifrons	2001-09-04	510
AY081443	Drosophila ornatipennis	2002-08-09	277
AY750134	Drosophila gani	2005-12-31	911
U94194	Drosophila adunca	1998-02-23	204
X68162	Drosophila pseudoobscura	1992-10-08	3482
AY081439	Drosophila ornatifrons	2002-08-09	283
U26837	Drosophila americana	1995-06-22	950
X68163	Drosophila pseudoobscura	1992-10-08	3489
Z00033	Drosophila mauritiana	1986-07-02	1835
U90954	Drosophila sinobscura	1997-11-14	431
AY238772	Drosophila miranda	2003-04-08	2042
AY238774	Drosophila miranda	2003-04-08	2042
AB932677	Drosophila testacea	2015-01-14	826
AF260695	Drosophila gymnobasis	2000-09-20	506
KM016469	Drosophila simulans	2014-09-24	478
KM016472	Drosophila simulans	2014-09-24	480
KM016475	Drosophila simulans	2014-09-24	479
AB932655	Drosophila falleni	2014-10-26	810
AB932660	Drosophila innubila	2014-10-26	776
DQ471611	Drosophila americana texana	2006-07-20	711
HQ232351	Drosophila hypercephala	2011-08-08	437
X57362	Drosophila simulans	1991-07-17	973
X57370	Drosophila yakuba	1991-07-17	975
AB261131	Drosophila formosana	2007-11-03	839
AB261137	Drosophila nasuta	2007-11-03	863
M60991	Drosophila pseudoobscura bogotana	1992-01-26	3475
U95259	Drosophila willistoni	1999-01-06	1172
AB033642	Drosophila albomicans	1999-11-16	711
AB932659	Drosophila histrio	2015-01-14	840
AF260691	Drosophila virilis	2000-09-20	456
AB261134	Drosophila neohypocausta	2007-11-03	879
AY279323	Drosophila erecta	2004-03-31	319
